Date,Radio_Flux_10.7cm,SESC_Sunspot_Number,Sunspot_Area_10E-6_Hemis,New_Regions,Mean_Field,Bkgd_XRay_Flux,Flares_C,Flares_M,Flares_X,Flares_S,Flares_1,Flares_2,Flares_3
01/01/2015,138,101,870,1,-999,B4.9,3,0,0,9,0,0,0
02/01/2015,146,113,1250,1,-999,B4.9,3,0,0,9,0,0,0
03/01/2015,149,122,1300,0,-999,B5.7,10,1,0,13,1,0,0
04/01/2015,150,124,1220,0,-999,B6.7,5,1,0,13,0,1,0
05/01/2015,142,89,920,0,-999,B7.2,6,0,0,8,1,1,0
06/01/2015,142,102,680,2,-999,B7.2,6,0,0,4,1,0,0
07/01/2015,147,106,490,0,-999,B7.0,6,0,0,6,1,0,0
08/01/2015,157,101,550,1,-999,B8.0,5,0,0,3,1,0,0
09/01/2015,151,125,980,2,-999,B7.7,5,0,0,2,1,0,0
10/01/2015,152,146,940,1,-999,B6.9,5,0,0,7,0,0,0
11/01/2015,154,133,980,0,-999,B8.2,8,0,0,15,0,0,0
12/01/2015,159,111,950,0,-999,C1.0,7,0,0,18,0,0,0
13/01/2015,146,93,840,0,-999,B7.5,3,2,0,5,0,1,0
14/01/2015,142,89,570,0,-999,B9.1,14,1,0,10,0,0,0
15/01/2015,131,62,270,1,-999,B6.5,5,0,0,5,0,0,0
16/01/2015,125,75,220,1,-999,B5.2,1,0,0,8,0,0,0
17/01/2015,122,49,120,0,-999,B4.6,0,0,0,5,0,0,0
18/01/2015,126,78,150,2,-999,B4.6,2,0,0,3,0,0,0
19/01/2015,130,62,250,1,-999,B5.1,3,0,0,2,0,0,0
20/01/2015,126,57,210,0,-999,B4.9,2,0,0,1,0,0,0
21/01/2015,124,50,160,0,-999,B6.0,7,0,0,2,0,0,0
22/01/2015,120,63,370,2,-999,B4.5,6,1,0,0,0,0,0
23/01/2015,121,70,530,1,-999,B4.1,6,0,0,7,0,0,0
24/01/2015,125,57,540,0,-999,B3.6,3,0,0,2,1,0,0
25/01/2015,127,65,460,1,-999,B4.3,4,0,0,0,0,0,0
26/01/2015,147,110,580,4,-999,B7.0,6,1,0,14,0,0,0
27/01/2015,158,119,840,0,-999,B9.6,5,0,0,16,0,0,0
28/01/2015,159,140,850,2,-999,B9.5,6,2,0,7,1,1,0
29/01/2015,165,181,1160,1,-999,B9.4,16,1,0,20,3,0,0
30/01/2015,159,193,1450,0,-999,B8.6,4,3,0,4,0,0,0
31/01/2015,154,153,1320,0,-999,B6.3,5,0,0,2,0,0,0
01/02/2015,142,132,1030,0,-999,B7.0,6,0,0,6,0,1,0
02/02/2015,144,117,680,2,-999,B6.8,3,0,0,9,1,0,0
03/02/2015,149,112,830,1,-999,B7.8,7,0,0,22,1,0,0
04/02/2015,145,85,700,0,-999,B7.5,2,1,0,13,0,1,0
05/02/2015,142,86,560,0,-999,B5.9,3,0,0,4,1,0,0
06/02/2015,143,71,440,0,-999,B6.2,3,0,0,10,0,0,0
07/02/2015,153,80,480,1,-999,B7.5,7,0,0,7,0,0,0
08/02/2015,153,94,510,0,-999,B7.3,7,0,0,16,2,0,0
09/02/2015,146,82,470,0,-999,B8.0,9,1,0,15,0,0,0
10/02/2015,141,82,610,0,-999,B9.1,5,0,0,10,1,0,0
11/02/2015,131,76,510,0,-999,B5.2,2,0,0,3,0,0,0
12/02/2015,128,50,400,1,-999,B4.6,2,0,0,4,1,0,0
13/02/2015,125,59,290,1,-999,B4.3,0,0,0,3,0,0,0
14/02/2015,120,49,250,0,-999,B3.8,0,0,0,1,0,0,0
15/02/2015,120,45,240,1,-999,B3.6,0,0,0,1,0,0,0
16/02/2015,118,44,220,0,-999,B3.6,0,0,0,0,0,0,0
17/02/2015,119,40,180,0,-999,B3.8,0,0,0,1,0,0,0
18/02/2015,121,95,250,5,-999,B4.0,2,0,0,7,1,0,0
19/02/2015,119,86,240,0,-999,B3.8,2,0,0,5,0,0,0
20/02/2015,120,53,100,0,-999,B4.2,3,0,0,6,0,0,0
21/02/2015,116,54,110,0,-999,B3.3,2,0,0,1,0,0,0
22/02/2015,118,49,70,1,-999,B3.0,0,0,0,0,0,0,0
23/02/2015,117,44,80,1,-999,B3.3,1,0,0,1,0,0,0
24/02/2015,114,63,120,0,-999,B2.8,1,0,0,1,0,0,0
25/02/2015,111,64,100,0,-999,B2.8,0,0,0,0,0,0,0
26/02/2015,111,39,70,1,-999,B2.5,0,0,0,0,0,0,0
27/02/2015,118,58,200,1,-999,B3.3,1,0,0,3,0,0,0
28/02/2015,123,70,220,0,-999,B4.4,7,0,0,7,0,0,0
01/03/2015,128,66,210,0,-999,B6.2,3,0,0,10,0,0,0
02/03/2015,130,65,170,0,-999,B9.4,14,4,0,4,1,0,0
03/03/2015,125,38,140,0,-999,B5.2,5,1,0,4,0,0,0
04/03/2015,124,43,250,0,-999,B5.1,3,0,0,4,1,0,0
05/03/2015,130,31,75,1,-999,B6.7,4,1,0,0,0,0,0
06/03/2015,127,37,50,2,-999,C1.0,6,2,0,1,0,0,0
07/03/2015,138,20,180,0,-999,B5.9,4,1,0,2,0,0,0
08/03/2015,124,23,260,0,-999,B6.6,2,0,0,6,2,0,0
09/03/2015,123,29,260,0,-999,B5.0,13,2,0,14,6,1,0
10/03/2015,121,42,280,0,-999,B5.4,13,2,0,21,0,1,0
11/03/2015,132,42,360,1,-999,B6.8,14,3,1,8,3,1,0
12/03/2015,127,56,360,1,-999,B9.5,10,5,0,0,0,1,0
13/03/2015,119,87,470,2,-999,B4.8,6,2,0,4,0,0,0
14/03/2015,116,56,350,0,-999,B4.1,12,1,0,13,1,1,0
15/03/2015,114,54,390,0,-999,B4.6,7,2,0,11,2,0,0
16/03/2015,117,57,390,0,-999,B3.6,6,1,0,9,2,1,0
17/03/2015,114,60,810,2,-999,B3.3,2,1,0,4,0,1,0
18/03/2015,115,44,470,0,-999,B6.0,18,0,0,18,1,0,0
19/03/2015,109,71,420,1,-999,B3.5,2,0,0,8,0,0,0
20/03/2015,113,27,120,0,-999,B4.8,1,0,0,0,0,0,0
21/03/2015,114,40,260,2,-999,B4.0,2,0,0,0,0,0,0
